"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000099257.1",0,0,0,0,0,0
"ENSMUSG00000099492.1",8,8,2,14,14,14
"ENSMUSG00000118548.1",0,0,0,0,0,0
"ENSMUSG00000101726.1",0,0,0,0,0,0
"ENSMUSG00000096829.1",0,0,0,0,0,0
"ENSMUSG00000098883.1",0,0,0,0,0,0
"ENSMUSG00000053185.2",0,0,0,0,0,0
"ENSMUSG00000100261.1",0,0,0,0,2,0
"ENSMUSG00000101180.1",0,0,0,0,0,0
"ENSMUSG00000048874.15",8316,9050,9056,9312,10840,6212
"ENSMUSG00000103783.1",2,12,4,14,4,2
"ENSMUSG00000104315.1",8,32,0,32,12,6
"ENSMUSG00000026064.16",42,32,24,22,20,18
"ENSMUSG00000117310.2",2,2,0,0,0,0
"ENSMUSG00000117091.1",0,0,0,6,2,0
"ENSMUSG00000086726.3",0,0,0,0,0,0
"ENSMUSG00000086727.8",0,0,0,8,11,0
"ENSMUSG00000100237.1",0,0,0,0,0,0
"ENSMUSG00000098529.1",0,0,0,0,0,0
"ENSMUSG00000100910.1",0,0,0,0,0,0
"ENSMUSG00000099796.1",0,0,0,0,0,0
"ENSMUSG00000050217.13",0,0,0,8,1,0
"ENSMUSG00000026063.4",0,0,0,0,0,0
"ENSMUSG00000077664.1",0,0,0,0,0,0
"ENSMUSG00000100205.1",0,0,0,0,0,0
"ENSMUSG00000100592.1",0,0,0,0,0,0
"ENSMUSG00000094215.2",0,0,0,2,2,0
"ENSMUSG00000101093.1",0,0,0,0,0,0
"ENSMUSG00000070960.4",0,10,2,4,4,2
"ENSMUSG00000088620.1",0,0,0,0,0,0
"ENSMUSG00000082159.2",0,0,0,0,0,0
"ENSMUSG00000026058.11",2,2,2,2,2,0
"ENSMUSG00000064688.1",0,0,0,0,0,0
"ENSMUSG00000103482.1",0,0,0,0,0,0
"ENSMUSG00000104498.1",0,0,0,0,0,0
"ENSMUSG00000104313.1",0,0,0,0,0,0
"ENSMUSG00000102865.1",0,0,0,0,0,0
"ENSMUSG00000102321.1",0,0,0,0,0,0
"ENSMUSG00000091318.2",0,0,0,0,0,0
"ENSMUSG00000089489.1",0,0,0,0,0,0
"ENSMUSG00000104433.1",0,0,0,0,0,0
"ENSMUSG00000089395.1",0,0,0,0,0,0
"ENSMUSG00000102926.1",0,0,0,0,0,0
"ENSMUSG00000100497.1",0,0,0,0,0,0
"ENSMUSG00000102917.1",0,0,0,0,0,0
"ENSMUSG00000100481.1",0,0,0,2,0,0
"ENSMUSG00000100590.1",0,0,0,0,0,0
"ENSMUSG00000088750.1",0,0,0,0,0,0
"ENSMUSG00000104230.1",0,0,0,0,0,0
